last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Pujols, Albert,2019,0.253,0.433,0.319,0.316,0.175,88.3,12.4,6
Cabrera, Miguel,2019,0.273,0.443,0.332,0.34,0.167,90.3,12.2,6.4
Mathis, Jeff,2019,0.166,0.226,0.196,0.216,0.058,85.7,16.8,1.4
Choo, Shin-Soo,2019,0.26,0.469,0.356,0.368,0.206,91.3,8.7,8.8
Molina, Yadier,2019,0.275,0.443,0.325,0.319,0.165,87.4,13.8,3.8
Cano, Robinson,2019,0.28,0.45,0.328,0.33,0.167,90.8,7.3,7.4
Encarnacion, Edwin,2019,0.242,0.513,0.36,0.345,0.27,90,22.5,12.6
Jones, Adam,2019,0.256,0.428,0.313,0.311,0.17,86,13.5,6.7
Martin, Russell,2019,0.223,0.35,0.306,0.341,0.124,88.2,10.6,5.3
Granderson, Curtis,2019,0.216,0.389,0.305,0.312,0.171,88.1,18.7,7.2
Morales, Kendrys,2019,0.273,0.445,0.364,0.384,0.169,91.3,9.5,6.9
Kendrick, Howie,2019,0.336,0.622,0.419,0.393,0.283,91.6,11,11.4
Kinsler, Ian,2019,0.205,0.303,0.252,0.267,0.094,83.6,16.8,1.5
McCann, Brian,2019,0.241,0.406,0.314,0.321,0.162,88.6,11.3,5.7
Walker, Neil,2019,0.271,0.433,0.339,0.355,0.16,86.2,11.7,6.5
Suzuki, Kurt,2019,0.278,0.459,0.338,0.338,0.179,86,18.9,6.5
Desmond, Ian,2019,0.271,0.474,0.335,0.325,0.201,90.6,8.4,10.4
Cruz, Nelson,2019,0.296,0.644,0.419,0.383,0.346,93.7,13.1,19.9
Peralta, David,2019,0.249,0.379,0.301,0.32,0.129,90.1,6.4,5.4
Pina, Manny,2019,0.229,0.414,0.31,0.315,0.183,88.6,16.2,8.3
Jay, Jon,2019,0.25,0.325,0.273,0.296,0.07,80.6,5.3,1.4
Prado, Martin,2019,0.258,0.342,0.275,0.291,0.081,87,8.3,0.5
Duda, Lucas,2019,0.223,0.455,0.311,0.298,0.231,91.5,22.5,12
Wieters, Matt,2019,0.223,0.41,0.289,0.277,0.185,88.8,13.8,7.3
Longoria, Evan,2019,0.274,0.498,0.352,0.344,0.221,89.7,14,7.5
Cozart, Zack,2019,0.206,0.276,0.246,0.262,0.067,85.9,21.6,1.2
Rodriguez, Sean,2019,0.196,0.326,0.297,0.327,0.128,84.9,10.5,5.3
Reynolds, Mark,2019,0.166,0.295,0.266,0.292,0.129,88.9,17.5,6.2
Davis, Chris,2019,0.206,0.372,0.292,0.302,0.164,89.1,14.1,10.5
Zobrist, Ben,2019,0.252,0.325,0.306,0.352,0.069,85.4,5,0.8
Fowler, Dexter,2019,0.251,0.421,0.338,0.357,0.167,85.2,13,7.4
Flowers, Tyler,2019,0.198,0.383,0.289,0.293,0.183,90.1,11.1,11.3
Pence, Hunter,2019,0.284,0.508,0.358,0.346,0.221,91.4,10.1,9.1
Cabrera, Asdrubal,2019,0.241,0.413,0.318,0.329,0.17,88.8,14.1,5.7
Blackmon, Charlie,2019,0.294,0.52,0.362,0.348,0.224,88.5,14.5,8.3
Frazier, Todd,2019,0.24,0.413,0.315,0.319,0.171,88.2,17.3,7.3
Iannetta, Chris,2019,0.231,0.415,0.312,0.321,0.183,92.1,8.7,14.3
Maldonado, Martin,2019,0.222,0.395,0.302,0.302,0.167,87.4,11.7,7.6
Chirinos, Robinson,2019,0.216,0.4,0.316,0.33,0.182,86.2,16.5,8.1
Markakis, Nick,2019,0.3,0.434,0.349,0.374,0.131,91.2,7.3,3
Castillo, Welington,2019,0.22,0.43,0.3,0.278,0.207,89.5,13.2,11.4
Nunez, Eduardo,2019,0.254,0.326,0.259,0.27,0.068,87.8,6.4,1.4
Cain, Lorenzo,2019,0.29,0.412,0.33,0.353,0.12,89.4,6.6,4.1
Solano, Donovan,2019,0.316,0.45,0.339,0.348,0.132,87.1,14.6,4.2
McCutchen, Andrew,2019,0.254,0.444,0.355,0.376,0.186,90.6,12.7,7.3
Upton, Justin,2019,0.215,0.415,0.312,0.311,0.199,87.2,18.5,11.6
Maybin, Cameron,2019,0.258,0.455,0.337,0.341,0.195,88.8,11.1,10.2
Turner, Justin,2019,0.288,0.517,0.378,0.373,0.228,90.2,17.6,7.8
Posey, Buster,2019,0.254,0.418,0.315,0.317,0.16,88.4,9.1,4.8
Bruce, Jay,2019,0.244,0.543,0.341,0.289,0.298,90,22.2,13.4
Votto, Joey,2019,0.256,0.442,0.343,0.355,0.184,88.8,15,6.9
Gardner, Brett,2019,0.242,0.372,0.301,0.319,0.128,87.2,13.6,4.1
Joyce, Matt,2019,0.271,0.443,0.36,0.388,0.169,87.3,16.7,6.5
Braun, Ryan,2019,0.273,0.479,0.342,0.333,0.203,91.2,7.1,9.8
Gordon, Alex,2019,0.261,0.43,0.332,0.343,0.166,88.2,9,5.4
Andrus, Elvis,2019,0.271,0.398,0.307,0.314,0.125,88.2,7.1,3.5
Cervelli, Francisco,2019,0.207,0.354,0.284,0.296,0.145,86.4,11.9,5.9
Cabrera, Melky,2019,0.28,0.376,0.294,0.313,0.092,87.9,8.9,2.1
Sandoval, Pablo,2019,0.275,0.483,0.336,0.323,0.205,89.3,10.1,11.4
Ramos, Wilson,2019,0.263,0.402,0.311,0.329,0.135,90,0,4.7
Santana, Carlos,2019,0.268,0.485,0.367,0.386,0.213,91.8,11.8,9.6
Parra, Gerardo,2019,0.248,0.387,0.298,0.308,0.136,85.4,10.5,4.6
Gonzalez, Carlos,2019,0.208,0.329,0.274,0.298,0.118,87.1,1.7,6.3
Mercer, Jordy,2019,0.267,0.452,0.318,0.307,0.183,86.9,13.2,6.5
Belt, Brandon,2019,0.245,0.457,0.346,0.352,0.211,86.4,21.9,8.7
Alonso, Yonder,2019,0.232,0.38,0.306,0.326,0.145,87.9,13.9,5.4
Smoak, Justin,2019,0.25,0.495,0.366,0.377,0.244,90.3,16.8,11
Zimmerman, Ryan,2019,0.248,0.447,0.321,0.316,0.198,91.4,9.7,7.5
Avila, Alex,2019,0.229,0.502,0.357,0.371,0.269,91.4,9.4,18.8
Brantley, Michael,2019,0.303,0.49,0.362,0.367,0.184,88.7,10.6,5.8
Castro, Jason,2019,0.249,0.521,0.364,0.348,0.27,91.5,14,17.2
Gurriel, Yuli,2019,0.284,0.422,0.322,0.332,0.135,89.3,14.5,3.8
Beckham, Gordon,2019,0.227,0.39,0.285,0.281,0.161,86.2,14.1,9
Rodriguez, Ronny,2019,0.228,0.432,0.29,0.263,0.201,87.3,14.7,7.5
Rojas, Miguel,2019,0.275,0.373,0.303,0.326,0.095,87.1,8.8,2.6
Escobar, Eduardo,2019,0.258,0.468,0.327,0.314,0.209,87.8,18.3,7
Martinez, Jose,2019,0.272,0.466,0.343,0.343,0.192,88.6,6.8,7.1
Adrianza, Ehire,2019,0.264,0.393,0.323,0.345,0.125,85.5,13.6,3.6
Lagares, Juan,2019,0.207,0.29,0.243,0.275,0.081,86.6,9.4,3.2
Freese, David,2019,0.288,0.527,0.382,0.38,0.237,91.5,11,15.3
Davis, Khris,2019,0.233,0.442,0.318,0.306,0.206,90.1,13.2,10.1
Pham, Tommy,2019,0.277,0.462,0.357,0.373,0.181,90.8,5.1,7.9
Martinez, J.D.,2019,0.309,0.579,0.4,0.389,0.268,91.3,12.5,12
Reddick, Josh,2019,0.277,0.397,0.313,0.325,0.118,86,15.6,3.4
Freeman, Mike,2019,0.219,0.303,0.281,0.315,0.082,82,6.6,2.4
Dyson, Jarrod,2019,0.227,0.297,0.274,0.311,0.067,82,8.9,1.6
Murphy, Daniel,2019,0.25,0.371,0.29,0.302,0.117,86.3,14.8,2.4
Goldschmidt, Paul,2019,0.262,0.513,0.361,0.349,0.25,90.1,15.3,11.3
Gonzalez, Marwin,2019,0.262,0.435,0.32,0.32,0.171,90.4,10.6,6.4
Leon, Sandy,2019,0.181,0.256,0.228,0.245,0.074,83.6,20.5,1.5
Altuve, Jose,2019,0.282,0.492,0.35,0.339,0.208,86.1,8.8,8.1
Hernandez, Cesar,2019,0.273,0.378,0.303,0.327,0.102,85.7,9.3,2.7
Segura, Jean,2019,0.278,0.406,0.314,0.322,0.125,88,7,3.2
Castro, Starlin,2019,0.268,0.432,0.31,0.301,0.162,88.6,10.9,6.2
Marte, Starling,2019,0.304,0.511,0.361,0.352,0.204,87.4,7.4,8.2
Culberson, Charlie,2019,0.238,0.396,0.282,0.274,0.154,87.2,12.1,7.5
d'Arnaud, Travis,2019,0.262,0.455,0.334,0.326,0.191,90,14.6,7.7
Descalso, Daniel,2019,0.194,0.299,0.265,0.291,0.102,87.5,10.5,4.4
Dietrich, Derek,2019,0.224,0.453,0.351,0.36,0.227,86.9,20.7,11.8
Donaldson, Josh,2019,0.269,0.536,0.387,0.388,0.265,92.9,13.3,15.7
Freeman, Freddie,2019,0.292,0.571,0.394,0.386,0.277,89.7,14.5,12.5
Grandal, Yasmani,2019,0.24,0.474,0.363,0.377,0.231,90.3,13.9,11.3
Heyward, Jason,2019,0.269,0.416,0.333,0.358,0.144,88.6,11.1,5.9
LeMahieu, DJ,2019,0.322,0.529,0.379,0.371,0.203,91.7,6.7,7.5
Lucroy, Jonathan,2019,0.245,0.387,0.306,0.319,0.139,87,12.5,3.7
Moreland, Mitch,2019,0.257,0.5,0.351,0.335,0.24,90.8,10.1,11.5
Moustakas, Mike,2019,0.263,0.505,0.349,0.337,0.24,89.3,17.1,10.3
Rizzo, Anthony,2019,0.3,0.497,0.39,0.413,0.195,88.8,12.4,7
Romine, Austin,2019,0.264,0.433,0.305,0.295,0.166,88.2,10.4,6.7
Sogard, Eric,2019,0.27,0.373,0.307,0.336,0.101,84.7,18.3,2.1
Thames, Eric,2019,0.226,0.437,0.325,0.329,0.21,90.7,18.6,9.3
Vogt, Stephen,2019,0.254,0.487,0.328,0.307,0.232,89.8,22.4,10.4
Galvis, Freddy,2019,0.238,0.387,0.28,0.275,0.147,88.2,14.2,5.5
Forsythe, Logan,2019,0.242,0.41,0.323,0.338,0.167,89.3,12.3,5.5
Flores, Wilmer,2019,0.287,0.439,0.329,0.334,0.15,87.4,16.4,5.1
Puello, Cesar,2019,0.241,0.382,0.324,0.35,0.135,85.8,-3.9,6.8
Garcia, Avisail,2019,0.275,0.494,0.342,0.327,0.217,89.5,9.8,11.7
Perez, Hernan,2019,0.218,0.336,0.257,0.254,0.115,87.9,9,4.1
Inciarte, Ender,2019,0.235,0.32,0.29,0.334,0.082,81.8,9.3,1.9
Ozuna, Marcell,2019,0.288,0.548,0.382,0.37,0.257,91.8,13.5,12.6
Villar, Jonathan,2019,0.249,0.412,0.313,0.317,0.16,87.7,7,6.8
Santana, Danny,2019,0.275,0.496,0.338,0.317,0.219,91.4,13.5,9.5
Aguilar, Jesus,2019,0.246,0.443,0.334,0.336,0.193,89.3,13.8,7.5
Beckham, Tim,2019,0.228,0.435,0.303,0.285,0.204,87.5,10.8,8.9
Berti, Jon,2019,0.258,0.378,0.313,0.337,0.116,86.6,5.5,3.8
Broxton, Keon,2019,0.167,0.287,0.235,0.244,0.117,85.4,8.2,5.8
Crawford, Brandon,2019,0.241,0.4,0.306,0.317,0.155,87.5,8.4,5.4
Cron, C.J.,2019,0.277,0.548,0.366,0.334,0.27,91,12.7,15
Dickerson, Alex,2019,0.271,0.476,0.342,0.331,0.204,89.9,16.3,9
Gomes, Yan,2019,0.221,0.397,0.304,0.316,0.173,87.6,17.9,6.9
Grossman, Robbie,2019,0.265,0.383,0.324,0.357,0.115,87.7,12.1,2.4
Harrison, Josh,2019,0.241,0.399,0.288,0.281,0.155,85.3,19.5,4.5
Hicks, Aaron,2019,0.212,0.39,0.301,0.307,0.176,89.8,14.7,9.9
Hicks, John,2019,0.201,0.351,0.247,0.232,0.148,87.4,15.9,6.6
Hosmer, Eric,2019,0.259,0.418,0.308,0.307,0.156,90.5,2.1,7.2
Kipnis, Jason,2019,0.261,0.418,0.316,0.323,0.155,86.7,13.1,5.5
McCann, James,2019,0.256,0.445,0.321,0.313,0.187,89.9,10.7,9.2
Miller, Brad,2019,0.243,0.51,0.344,0.315,0.265,91.6,16.8,12.8
Nola, Austin,2019,0.235,0.369,0.296,0.313,0.132,87.1,16,3.4
Rendon, Anthony,2019,0.319,0.599,0.418,0.415,0.279,90.4,19.5,12
Semien, Marcus,2019,0.275,0.495,0.362,0.362,0.217,88.8,14.7,8.5
Shaw, Travis,2019,0.183,0.334,0.278,0.304,0.151,88.7,24.4,7.1
Springer, George,2019,0.287,0.578,0.398,0.38,0.288,89.8,10.3,14.3
Gordon, Dee,2019,0.254,0.308,0.26,0.287,0.051,83,5.3,0
Vazquez, Christian,2019,0.254,0.447,0.316,0.303,0.191,88.7,12.9,6.2
Wong, Kolten,2019,0.259,0.368,0.308,0.339,0.106,83.6,10.6,2.5
Gregorius, Didi,2019,0.247,0.408,0.293,0.287,0.159,88.2,17.2,5.9
Garcia, Leury,2019,0.247,0.352,0.274,0.28,0.101,86.6,4.8,3.8
Vargas, Ildemaro,2019,0.255,0.359,0.278,0.287,0.102,86.8,3,3.4
Grichuk, Randal,2019,0.237,0.427,0.301,0.286,0.188,89.3,16.2,8.5
Marisnick, Jake,2019,0.202,0.328,0.255,0.261,0.124,85,9.7,4
Stassi, Max,2019,0.179,0.266,0.236,0.254,0.085,89.3,12.4,3.5
Trout, Mike,2019,0.311,0.669,0.455,0.456,0.357,90.7,22.2,18.6
Herrera, Odubel,2019,0.227,0.34,0.277,0.292,0.111,88,11,4.3
Almora Jr., Albert,2019,0.254,0.382,0.28,0.288,0.126,85.2,8.2,4.6
Ruiz, Rio,2019,0.235,0.36,0.293,0.31,0.123,87.9,10.7,2.8
Wolters, Tony,2019,0.244,0.316,0.281,0.324,0.069,84.8,9.6,0
Harper, Bryce,2019,0.279,0.548,0.387,0.389,0.267,91.3,13.1,14.8
Perez, Roberto,2019,0.227,0.451,0.323,0.312,0.22,88.3,4.3,11
Martin, Leonys,2019,0.191,0.337,0.265,0.268,0.144,84.7,14.3,6.2
Abreu, Jose,2019,0.283,0.52,0.359,0.336,0.234,92.1,10.9,12.8
Diaz, Elias,2019,0.245,0.334,0.281,0.303,0.086,87.6,9,2.4
Narvaez, Omar,2019,0.254,0.422,0.324,0.332,0.165,85.4,17.8,5.3
Astudillo, Willians,2019,0.288,0.423,0.32,0.323,0.133,85.8,15.7,2.7
Suarez, Eugenio,2019,0.248,0.503,0.355,0.341,0.253,89.4,17.8,14
Polanco, Gregory,2019,0.233,0.41,0.294,0.293,0.175,89.4,18.4,9.6
Santana, Domingo,2019,0.257,0.492,0.347,0.334,0.233,89,11.7,12.5
Gonzalez, Erik,2019,0.23,0.302,0.246,0.28,0.071,85.2,2.3,2.8
Urshela, Gio,2019,0.294,0.505,0.353,0.337,0.209,90.5,13.6,7
Sanchez, Yolmer,2019,0.237,0.32,0.276,0.305,0.08,85.6,12.8,1
Schoop, Jonathan,2019,0.252,0.439,0.312,0.3,0.185,87.5,12.5,8.8
Adams, Matt,2019,0.227,0.479,0.318,0.28,0.25,88.4,19.2,14.8
Arenado, Nolan,2019,0.272,0.484,0.344,0.343,0.208,89.4,17.7,8
Barnhart, Tucker,2019,0.221,0.326,0.28,0.32,0.103,86.1,11.6,3
Bour, Justin,2019,0.188,0.374,0.28,0.274,0.182,89.2,10.4,11
Farmer, Kyle,2019,0.226,0.39,0.281,0.275,0.163,85,17.8,5.6
Gennett, Scooter,2019,0.201,0.292,0.222,0.225,0.09,85.8,12.6,2.1
Goodwin, Brian,2019,0.239,0.414,0.307,0.308,0.173,87.3,17.6,6.3
Hamilton, Billy,2019,0.233,0.271,0.261,0.303,0.032,78.3,12.8,0
Haniger, Mitch,2019,0.225,0.456,0.327,0.32,0.23,88.4,18.7,12
Hernandez, Enrique,2019,0.242,0.411,0.308,0.311,0.167,88.4,19.5,5.9
Holt, Brock,2019,0.271,0.372,0.317,0.351,0.098,87.5,11,1.5
Lamb, Jake,2019,0.229,0.429,0.34,0.359,0.198,90.4,13.8,8.2
Maile, Luke,2019,0.214,0.338,0.259,0.264,0.121,83.7,12,4.5
Muncy, Max,2019,0.269,0.522,0.385,0.39,0.251,89.7,14.2,12.3
Myers, Wil,2019,0.241,0.435,0.323,0.323,0.193,88.9,11.1,11.2
Naquin, Tyler,2019,0.277,0.472,0.327,0.315,0.193,90.2,12.3,9
Owings, Chris,2019,0.179,0.29,0.237,0.246,0.109,86.8,9.1,6.9
Phegley, Josh,2019,0.249,0.374,0.287,0.293,0.122,83.7,17,3.1
Piscotty, Stephen,2019,0.253,0.444,0.323,0.314,0.188,89.1,12.6,7.9
Pollock, A.J.,2019,0.265,0.459,0.334,0.33,0.192,90.5,13.9,8
Rickard, Joey,2019,0.212,0.316,0.273,0.299,0.102,84.7,17.6,3.4
Seager, Kyle,2019,0.264,0.486,0.349,0.343,0.222,89.3,18.6,8.4
Voit, Luke,2019,0.249,0.494,0.365,0.367,0.242,89.7,12.8,13.2
Walker, Christian,2019,0.263,0.516,0.362,0.352,0.25,91.1,14.8,13.1
Zunino, Mike,2019,0.194,0.38,0.271,0.258,0.184,88.4,19.2,11.3
Goins, Ryan,2019,0.217,0.308,0.273,0.304,0.088,86.5,6.9,1
Carpenter, Matt,2019,0.23,0.427,0.332,0.34,0.194,87.2,18.1,7.8
Dickerson, Corey,2019,0.266,0.475,0.318,0.307,0.208,87.1,16.4,8.2
Dozier, Brian,2019,0.24,0.432,0.331,0.343,0.19,88.3,19,6.7
Garneau, Dustin,2019,0.222,0.356,0.306,0.331,0.133,84.5,20.7,4.7
Yastrzemski, Mike,2019,0.258,0.51,0.344,0.321,0.251,88.7,18.5,11.2
Contreras, Willson,2019,0.25,0.476,0.342,0.336,0.225,88.3,7.3,11.5
Gyorko, Jedd,2019,0.207,0.343,0.267,0.278,0.135,85.8,16.3,4.4
Iglesias, Jose,2019,0.272,0.369,0.289,0.303,0.093,84,7,2.5
Hechavarria, Adeiny,2019,0.237,0.409,0.302,0.297,0.169,87.5,11.4,6.4
Osuna, Jose,2019,0.274,0.447,0.328,0.323,0.17,89.2,9.6,5.1
Austin, Tyler,2019,0.199,0.45,0.317,0.305,0.25,91,14.2,15.9
Bryant, Kris,2019,0.246,0.46,0.347,0.351,0.212,87.4,19.3,9.3
Canha, Mark,2019,0.248,0.469,0.362,0.376,0.219,89.1,15,9.5
Casali, Curt,2019,0.235,0.396,0.309,0.319,0.16,87.2,19,6
Castellanos, Nicholas,2019,0.283,0.547,0.364,0.333,0.262,89,13.9,11.2
DeShields, Delino,2019,0.232,0.323,0.28,0.309,0.089,82.9,10.6,2.2
Drury, Brandon,2019,0.247,0.427,0.305,0.292,0.178,86.9,13.8,9.1
Gamel, Ben,2019,0.235,0.349,0.301,0.328,0.112,88.2,10.1,3.8
