last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,Full Name
Perdomo, Luis,2019,0.264,0.409,0.308,0.314,0.141,89.4,4.8,4.1,Luis Perdomo
Rondon, Hector,2019,0.23,0.391,0.298,0.302,0.158,86.8,7.8,6.5,Hector Rondon
Pena, Felix,2019,0.254,0.439,0.327,0.327,0.183,88.7,13,7.1,Felix Pena
Pineda, Michael,2019,0.258,0.445,0.312,0.298,0.186,88.9,16,7.3,Michael Pineda
Keuchel, Dallas,2019,0.268,0.429,0.332,0.341,0.158,88,2.3,6.9,Dallas Keuchel
Bummer, Aaron,2019,0.206,0.281,0.256,0.291,0.072,88.8,-3.4,2.3,Aaron Bummer
Lucchesi, Joey,2019,0.235,0.397,0.299,0.301,0.159,87.2,10.2,7.2,Joey Lucchesi
Soroka, Mike,2019,0.264,0.395,0.304,0.315,0.128,87,5.5,5.1,Mike Soroka
Barria, Jaime,2019,0.27,0.52,0.353,0.329,0.248,89.3,18.2,10.7,Jaime Barria
Chirinos, Yonny,2019,0.26,0.458,0.321,0.304,0.195,87.5,11.2,8.8,Yonny Chirinos
Soto, Gregory,2019,0.298,0.502,0.375,0.382,0.202,90.5,8.1,10.1,Gregory Soto
Cishek, Steve,2019,0.228,0.37,0.313,0.334,0.139,84.5,11.4,5.7,Steve Cishek
Robles, Hansel,2019,0.225,0.367,0.269,0.267,0.14,88.2,14.8,5.2,Hansel Robles
Ottavino, Adam,2019,0.184,0.293,0.271,0.306,0.106,85.1,15,4.6,Adam Ottavino
Jansen, Kenley,2019,0.211,0.345,0.266,0.269,0.132,84.6,18.4,6.1,Kenley Jansen
Law, Derek,2019,0.25,0.394,0.329,0.364,0.14,88.5,8.2,4.6,Derek Law
Diekman, Jake,2019,0.206,0.301,0.3,0.347,0.093,87.3,8.7,4.1,Jake Diekman
Doolittle, Sean,2019,0.236,0.45,0.305,0.286,0.213,90.1,23.8,8.5,Sean Doolittle
Sanchez, Anibal,2019,0.255,0.425,0.313,0.32,0.168,86.5,14.3,6.6,Anibal Sanchez
Paddack, Chris,2019,0.217,0.383,0.275,0.268,0.164,86.9,14.9,7.1,Chris Paddack
Hudson, Dakota,2019,0.263,0.421,0.334,0.356,0.154,88.7,3,6.8,Dakota Hudson
Odorizzi, Jake,2019,0.234,0.4,0.3,0.3,0.164,87.9,17.1,7.8,Jake Odorizzi
Lambert, Peter,2019,0.299,0.484,0.359,0.369,0.182,88.9,6.5,6.2,Peter Lambert
Chen, Wei-Yin,2019,0.282,0.497,0.347,0.336,0.214,88.9,13.6,8.6,Wei-Yin Chen
Fedde, Erick,2019,0.307,0.507,0.374,0.38,0.197,87.9,5.9,7.4,Erick Fedde
Tanaka, Masahiro,2019,0.265,0.437,0.316,0.307,0.169,88.7,10.9,6.2,Masahiro Tanaka
Gallen, Zac,2019,0.215,0.362,0.293,0.309,0.143,87,13.7,5.6,Zac Gallen
Osich, Josh,2019,0.253,0.45,0.311,0.294,0.195,87.8,9.7,7.7,Josh Osich
