last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,2019,.253,.433,.319,.316,.175,88.3,12.4,6.0,
Cabrera, Miguel,2019,.273,.443,.332,.340,.167,90.3,12.2,6.4,
Mathis, Jeff,2019,.166,.226,.196,.216,.058,85.7,16.8,1.4,
Choo, Shin-Soo,2019,.260,.469,.356,.368,.206,91.3,8.7,8.8,
Molina, Yadier,2019,.275,.443,.325,.319,.165,87.4,13.8,3.8,
Cano, Robinson,2019,.280,.450,.328,.330,.167,90.8,7.3,7.4,
Encarnacion, Edwin,2019,.242,.513,.360,.345,.270,90.0,22.5,12.6,
Jones, Adam,2019,.256,.428,.313,.311,.170,86.0,13.5,6.7,
Martin, Russell,2019,.223,.350,.306,.341,.124,88.2,10.6,5.3,
Granderson, Curtis,2019,.216,.389,.305,.312,.171,88.1,18.7,7.2,
Morales, Kendrys,2019,.273,.445,.364,.384,.169,91.3,9.5,6.9,
Kendrick, Howie,2019,.336,.622,.419,.393,.283,91.6,11.0,11.4,
Kinsler, Ian,2019,.205,.303,.252,.267,.094,83.6,16.8,1.5,
McCann, Brian,2019,.241,.406,.314,.321,.162,88.6,11.3,5.7,
Walker, Neil,2019,.271,.433,.339,.355,.160,86.2,11.7,6.5,
Suzuki, Kurt,2019,.278,.459,.338,.338,.179,86.0,18.9,6.5,
Desmond, Ian,2019,.271,.474,.335,.325,.201,90.6,8.4,10.4,
Cruz, Nelson,2019,.296,.644,.419,.383,.346,93.7,13.1,19.9,
Peralta, David,2019,.249,.379,.301,.320,.129,90.1,6.4,5.4,
Prado, Martin,2019,.258,.342,.275,.291,.081,87.0,8.3,0.5,
Longoria, Evan,2019,.274,.498,.352,.344,.221,89.7,14.0,7.5,
Davis, Chris,2019,.206,.372,.292,.302,.164,89.1,14.1,10.5,
Fowler, Dexter,2019,.251,.421,.338,.357,.167,85.2,13.0,7.4,
Flowers, Tyler,2019,.198,.383,.289,.293,.183,90.1,11.1,11.3,
Pence, Hunter,2019,.284,.508,.358,.346,.221,91.4,10.1,9.1,
Cabrera, Asdrubal,2019,.241,.413,.318,.329,.170,88.8,14.1,5.7,
Blackmon, Charlie,2019,.294,.520,.362,.348,.224,88.5,14.5,8.3,
Frazier, Todd,2019,.240,.413,.315,.319,.171,88.2,17.3,7.3,
Maldonado, Martin,2019,.222,.395,.302,.302,.167,87.4,11.7,7.6,
Chirinos, Robinson,2019,.216,.400,.316,.330,.182,86.2,16.5,8.1,
Markakis, Nick,2019,.300,.434,.349,.374,.131,91.2,7.3,3.0,
Castillo, Welington,2019,.220,.430,.300,.278,.207,89.5,13.2,11.4,
Cain, Lorenzo,2019,.290,.412,.330,.353,.120,89.4,6.6,4.1,
Solano, Donovan,2019,.316,.450,.339,.348,.132,87.1,14.6,4.2,
McCutchen, Andrew,2019,.254,.444,.355,.376,.186,90.6,12.7,7.3,
Upton, Justin,2019,.215,.415,.312,.311,.199,87.2,18.5,11.6,
Maybin, Cameron,2019,.258,.455,.337,.341,.195,88.8,11.1,10.2,
Turner, Justin,2019,.288,.517,.378,.373,.228,90.2,17.6,7.8,
Posey, Buster,2019,.254,.418,.315,.317,.160,88.4,9.1,4.8,
Bruce, Jay,2019,.244,.543,.341,.289,.298,90.0,22.2,13.4,
Votto, Joey,2019,.256,.442,.343,.355,.184,88.8,15.0,6.9,
Gardner, Brett,2019,.242,.372,.301,.319,.128,87.2,13.6,4.1,
Joyce, Matt,2019,.271,.443,.360,.388,.169,87.3,16.7,6.5,
Braun, Ryan,2019,.273,.479,.342,.333,.203,91.2,7.1,9.8,
Gordon, Alex,2019,.261,.430,.332,.343,.166,88.2,9.0,5.4,
Andrus, Elvis,2019,.271,.398,.307,.314,.125,88.2,7.1,3.5,
Cabrera, Melky,2019,.280,.376,.294,.313,.092,87.9,8.9,2.1,
Sandoval, Pablo,2019,.275,.483,.336,.323,.205,89.3,10.1,11.4,
Ramos, Wilson,2019,.263,.402,.311,.329,.135,90.0,0.0,4.7,
Santana, Carlos,2019,.268,.485,.367,.386,.213,91.8,11.8,9.6,
Parra, Gerardo,2019,.248,.387,.298,.308,.136,85.4,10.5,4.6,
Mercer, Jordy,2019,.267,.452,.318,.307,.183,86.9,13.2,6.5,
Belt, Brandon,2019,.245,.457,.346,.352,.211,86.4,21.9,8.7,
Alonso, Yonder,2019,.232,.380,.306,.326,.145,87.9,13.9,5.4,
Smoak, Justin,2019,.250,.495,.366,.377,.244,90.3,16.8,11.0,
Avila, Alex,2019,.229,.502,.357,.371,.269,91.4,9.4,18.8,
Brantley, Michael,2019,.303,.490,.362,.367,.184,88.7,10.6,5.8,
Castro, Jason,2019,.249,.521,.364,.348,.270,91.5,14.0,17.2,
Gurriel, Yuli,2019,.284,.422,.322,.332,.135,89.3,14.5,3.8,
Beckham, Gordon,2019,.227,.390,.285,.281,.161,86.2,14.1,9.0,
Rodriguez, Ronny,2019,.228,.432,.290,.263,.201,87.3,14.7,7.5,
Rojas, Miguel,2019,.275,.373,.303,.326,.095,87.1,8.8,2.6,
Escobar, Eduardo,2019,.258,.468,.327,.314,.209,87.8,18.3,7.0,
Martinez, Jose,2019,.272,.466,.343,.343,.192,88.6,6.8,7.1,
Adrianza, Ehire,2019,.264,.393,.323,.345,.125,85.5,13.6,3.6,
Lagares, Juan,2019,.207,.290,.243,.275,.081,86.6,9.4,3.2,
Davis, Khris,2019,.233,.442,.318,.306,.206,90.1,13.2,10.1,
Pham, Tommy,2019,.277,.462,.357,.373,.181,90.8,5.1,7.9,
Martinez, J.D.,2019,.309,.579,.400,.389,.268,91.3,12.5,12.0,
Reddick, Josh,2019,.277,.397,.313,.325,.118,86.0,15.6,3.4,
Freeman, Mike,2019,.219,.303,.281,.315,.082,82.0,6.6,2.4,
Dyson, Jarrod,2019,.227,.297,.274,.311,.067,82.0,8.9,1.6,
Murphy, Daniel,2019,.250,.371,.290,.302,.117,86.3,14.8,2.4,
Goldschmidt, Paul,2019,.262,.513,.361,.349,.250,90.1,15.3,11.3,
Gonzalez, Marwin,2019,.262,.435,.320,.320,.171,90.4,10.6,6.4,
Altuve, Jose,2019,.282,.492,.350,.339,.208,86.1,8.8,8.1,
Hernandez, Cesar,2019,.273,.378,.303,.327,.102,85.7,9.3,2.7,
Segura, Jean,2019,.278,.406,.314,.322,.125,88.0,7.0,3.2,
Castro, Starlin,2019,.268,.432,.310,.301,.162,88.6,10.9,6.2,
Marte, Starling,2019,.304,.511,.361,.352,.204,87.4,7.4,8.2,
d'Arnaud, Travis,2019,.262,.455,.334,.326,.191,90.0,14.6,7.7,
Dietrich, Derek,2019,.224,.453,.351,.360,.227,86.9,20.7,11.8,
Donaldson, Josh,2019,.269,.536,.387,.388,.265,92.9,13.3,15.7,
Freeman, Freddie,2019,.292,.571,.394,.386,.277,89.7,14.5,12.5,
Grandal, Yasmani,2019,.240,.474,.363,.377,.231,90.3,13.9,11.3,
Heyward, Jason,2019,.269,.416,.333,.358,.144,88.6,11.1,5.9,
LeMahieu, DJ,2019,.322,.529,.379,.371,.203,91.7,6.7,7.5,
Lucroy, Jonathan,2019,.245,.387,.306,.319,.139,87.0,12.5,3.7,
Moreland, Mitch,2019,.257,.500,.351,.335,.240,90.8,10.1,11.5,
Moustakas, Mike,2019,.263,.505,.349,.337,.240,89.3,17.1,10.3,
Rizzo, Anthony,2019,.300,.497,.390,.413,.195,88.8,12.4,7.0,
Romine, Austin,2019,.264,.433,.305,.295,.166,88.2,10.4,6.7,
Sogard, Eric,2019,.270,.373,.307,.336,.101,84.7,18.3,2.1,
Thames, Eric,2019,.226,.437,.325,.329,.210,90.7,18.6,9.3,
