"last_name, first_name","player_id","year","xba","xslg","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate"
"Sabathia, CC","282332","2019",".242",".421",".315",".310",".179","87","14.9",8.2
"Wainwright, Adam","425794","2019",".265",".429",".329",".338",".165","88.9","10.2",6.5
"Greinke, Zack","425844","2019",".238",".389",".281",".271",".151","87.5","11",6.3
"Jackson, Edwin","429719","2019",".309",".592",".408",".382",".283","91.1","11.9",12
"Hamels, Cole","430935","2019",".247",".417",".322",".325",".170","90.3","11.3",7.6
"Hernández, Félix","433587","2019",".280",".523",".368",".348",".243","91.9","11",10.1
"Petit, Yusmeiro","433589","2019",".213",".400",".271",".240",".187","87.8","21.4",7.5
"Verlander, Justin","434378","2019",".186",".346",".248",".233",".160","87.3","18.5",7.2
"Liriano, Francisco","434538","2019",".221",".367",".305",".323",".146","85.8","9.5",5
"Sánchez, Aníbal","434671","2019",".251",".421",".312",".316",".171","87","14.7",6.6
"Rondón, Héctor","444468","2019",".231",".401",".306",".303",".170","87.1","8.2",7
"Jansen, Kenley","445276","2019",".205",".341",".262",".264",".136","86.3","19.4",6.1
"Chavez, Jesse","445926","2019",".269",".471",".339",".327",".202","88.1","13.2",8.8
"Detwiler, Ross","446321","2019",".293",".545",".379",".361",".252","90.4","10.4",9.6
"Doolittle, Sean","448281","2019",".233",".449",".307",".284",".215","90.9","25.1",8.5
"Guerra, Junior","448855","2019",".220",".383",".302",".313",".163","86.9","14.3",6.2
"Morton, Charlie","450203","2019",".216",".337",".274",".285",".120","86.9","9.2",5
"Vargas, Jason","450306","2019",".243",".443",".326",".323",".200","87.6","16.7",7.9
"Lester, Jon","452657","2019",".274",".456",".337",".329",".182","88.6","12.2",7.4
"Hughes, Jared","453172","2019",".242",".400",".313",".321",".158","89.7","1.3",6.8
"Kennedy, Ian","453178","2019",".219",".368",".275",".272",".150","88.6","14.8",6.3
"LeBlanc, Wade","453281","2019",".280",".491",".343",".323",".211","89.4","13.9",7.8
"Parker, Blake","453284","2019",".271",".481",".351",".344",".210","88.9","14.7",9.1
"Scherzer, Max","453286","2019",".203",".336",".253",".250",".133","87.6","13.5",6.6
"Buchholz, Clay","453329","2019",".294",".554",".376",".342",".260","86.8","10.7",13.2
"Melancon, Mark","453343","2019",".243",".338",".277",".296",".095","88.6","3",2
"Arrieta, Jake","453562","2019",".266",".446",".337",".338",".181","89.3","6.8",6.8
"Price, David","456034","2019",".244",".426",".311",".301",".182","88.4","12.6",8.1
"Bailey, Homer","456701","2019",".262",".416",".318",".323",".154","90.3","13.6",5.7
"Guerra, Javy","457915","2019",".244",".437",".305",".292",".193","89.4","17.7",8
"Happ, J.A.","457918","2019",".258",".461",".331",".317",".204","89.2","13.7",8.3
"Albers, Matt","458006","2019",".233",".377",".307",".329",".144","87.2","7.7",5.9
"Lynn, Lance","458681","2019",".222",".372",".283",".282",".149","87.9","13.8",5.9
"Tomlin, Josh","458708","2019",".270",".466",".314",".285",".196","89.1","17.8",6.5
"Gonzalez, Gio","461829","2019",".245",".413",".319",".326",".168","87.4","9.6",6.4
"Soria, Joakim","465657","2019",".213",".385",".287",".280",".172","87.4","15.1",9.1
"Nova, Iván","467100","2019",".295",".477",".352",".345",".182","88.8","10.7",7.2
"Chacín, Jhoulys","468504","2019",".274",".484",".356",".353",".209","89.6","16.9",7.9
"Carrasco, Carlos","471911","2019",".264",".494",".333",".303",".230","91.5","13.3",12.8
"García, Luis","472610","2019",".248",".433",".338",".351",".185","88.6","9.8",7.7
