last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Pujols, Albert,405395,2022,0.895,91.2,16.4,12,7,22.5,26.7,29.1,2.7,47.3,63.5,34.9,64,53.4,88,46.6,42.9,21.3,52.3,30.2,17.4,38,29.5,20.5,12
Cabrera, Miguel,408234,2022,0.622,89.9,5,4.7,3.7,28.9,18.3,41.9,2,38.2,71.1,31.6,57.7,52.8,80.6,47.2,43.6,27,31.6,39.9,28.6,52.5,19.6,25.9,2
Molina, Yadier,425877,2022,0.535,84.7,16.9,3.1,4.9,27.4,31.8,30,2.7,26,75.2,41.3,71.4,48.9,81,51.1,45.5,22,36.3,38.6,25.1,39,29.6,20.2,11.2
Cano, Robinson,429664,2022,0.373,88.2,5.8,4,4,22.7,22.7,40,6.7,41.3,77.3,40,56,55,87.2,45,45.8,24.9,38.7,24,37.3,54.7,18.7,20,6.7
Suzuki, Kurt,435559,2022,0.559,85.2,24.1,3.5,7.1,20.4,39.8,23.9,5.3,26.5,68.1,27.4,57.5,49.2,87.3,50.8,42.2,21.1,45.1,38.9,15.9,30.1,30.1,21.2,18.6
Cruz Jr., Nelson,443558,2022,0.649,90.9,7.2,9.3,4.5,25.6,17.2,39.8,2.4,46.1,72.5,31,49.2,52.3,76.8,47.7,44.4,32,32.8,37.3,29.8,53,19.3,22.9,4.8
Peralta, David,444482,2022,0.731,90.3,15.1,8.5,9.1,26.9,25.7,28.1,1.8,44.4,69,33,50.2,51.8,85.7,48.2,44.5,26.2,38.1,39.6,22.4,36.3,28.4,26.3,9.1
Escobar, Alcides,444876,2022,0.542,81.8,15.7,1.1,1.1,27.2,34.8,27.2,8.7,17.4,70.9,36.3,62.9,48,82.4,52,43.9,21.3,26.1,45.7,28.3,38,20.7,30.4,10.9
Longoria, Evan,446334,2022,0.767,91.1,18.2,12.4,10.2,23.1,25.8,25.3,3.2,46.8,62.7,26.1,53.5,50,77.7,50,44,29.4,43,32.8,24.2,37.1,29,24.2,9.7
Blackmon, Charlie,453568,2022,0.731,86.2,12.4,4.4,4,27.1,25.2,32.2,6.5,30.6,70.1,32,67.1,48.8,83.3,51.2,43.9,21.4,43,36,21,44.4,23.8,25.7,6.1
Maldonado, Martin,455117,2022,0.597,88.4,14.7,8.1,6,21.4,29.1,29.9,5.1,40.2,69.1,31,41.2,50,79.7,50,42.1,32.2,41.9,35,23.1,43.6,29.5,20.9,6
Chirinos, Robinson,455139,2022,0.551,84.8,17.6,6.9,5.4,16.9,32.3,31.5,6.9,33.1,72,31.1,42.6,53.1,77.1,46.9,42.9,33.3,49.2,35.4,15.4,40.8,25.4,20.8,13.1
Cain, Lorenzo,456715,2022,0.465,87.9,3.8,0,8.2,19.1,19.1,48.2,5.5,36.4,73.7,32.2,55,49.9,82.6,50.1,42.5,25.8,34.5,41.8,23.6,59.1,15.5,20,5.5
